id,EAP,HPL,MWS
id02310,0.055245144466426165,0.024884716085341093,0.9198701394482344
id24541,0.8592565789339699,0.081844568301309,0.05889885276471998
id00134,0.29150511060052625,0.6568294309105739,0.05166545848889902
id27757,0.4791377290923147,0.5162689738226429,0.004593297085039588
id04081,0.7788828954358968,0.12760957435712317,0.09350753020698027
id27337,0.5518726539866156,0.4104965933461144,0.03763075266727184
id24265,0.43023534859312523,0.448043034720701,0.12172161668617303
id25917,0.12494208814238522,0.24931223591242166,0.6257456759451917
id04951,0.9747320080665147,0.02447798208427264,0.0007900098492143787
id14549,0.6318175446956862,0.13397967487244392,0.23420278043187084
id22505,0.07906587833329048,0.073123266611123,0.8478108550555837
id24002,0.0010619190592189,0.9981037538508682,0.0008343270899150549
id18982,0.6329947931564783,0.2759269906592785,0.09107821618424625
id15181,0.0523207777220557,0.9414395034767143,0.006239718801231052
id21888,0.7184933159526067,0.12976473517507417,0.15174194887231923
id12035,0.01246042811227131,0.006325478044750394,0.9812140938429785
id17991,0.22298879514612321,0.11281653237585806,0.6641946724780202
id10707,0.9831651416772264,0.008532549901324208,0.008302308421450877
id07101,0.22582537807252528,0.17767062395899413,0.5965039979684801
id00345,0.19813780677853227,0.771705596421517,0.03015659679995135
id05912,0.7327327090969633,0.09198889969688395,0.17527839120615119
id13443,0.9477700093794161,0.03780630333475701,0.014423687285827857
id09248,0.03964878598893897,0.22793241167219377,0.7324188023388678
id17542,0.018960366093556946,0.9678385689766759,0.013201064929767853
id06995,0.25768002771212273,0.05527140351054651,0.6870485687773318
id25159,0.7374243216594188,0.036764509566713295,0.2258111687738666
id25729,0.5954522972798334,0.2995646796970512,0.10498302302311653
id26949,0.8026277847694738,0.08605415208699797,0.11131806314352788
id27191,0.413800383977835,0.15771250157000352,0.4284871144521631
id07668,0.5152891364911275,0.026027138109617983,0.45868372539925784
id02230,0.18252137235648808,0.46847270695320226,0.34900592069031056
id15553,0.9337724630996264,0.021920395994254438,0.044307140906118384
id25688,0.048473748923253075,0.9261861693918887,0.02534008168485721
id17545,0.9694179041577071,0.00927478734102303,0.02130730850126968
id13929,0.1741135174988447,0.22982006864318316,0.5960664138579728
id12880,0.7235331641118288,0.17675273134605327,0.09971410454211752
id19282,0.699224896142514,0.18875042764562558,0.11202467621185877
id14690,0.05002722099947281,0.005927441595698492,0.9440453374048283
id17975,0.05179620699637777,0.911216833459624,0.03698695954399747
id08037,0.6432930081379942,0.05261315687487468,0.3040938349871296
id15412,0.15530678508887472,0.06779088905706983,0.776902325854056
id25032,0.44895884069821645,0.21730922532584535,0.3337319339759389
id27165,0.9919367286172086,0.0030707160438194145,0.004992555338972682
id03327,0.47133471825789164,0.47547481003628417,0.05319047170582331
id18515,0.5475086446413417,0.12477049501332522,0.32772086034533376
id21003,0.290809128346776,0.09891641629492764,0.6102744553582948
id23855,0.011247771323572036,0.8522908534943903,0.136461375182039
id20724,0.5062046995665445,0.18021377338280692,0.31358152705064823
id13303,0.550977287550058,0.10737792286829205,0.341644789581651
id16521,0.03673773552315318,0.33343438541629866,0.629827879060549
id20775,0.9004347510933395,0.08502810151856072,0.014537147388100458
id13029,0.9712929793589713,0.009358398669550702,0.019348621971477846
id14660,0.7271506994692198,0.20535704121357384,0.06749225931720759
id11028,0.014523722613436013,0.004749739860275715,0.9807265375262895
id14180,0.7250246314861172,0.23199468860145553,0.04298067991242627
id25860,0.9822326876422259,0.012784028850005198,0.004983283507769014
id11910,0.4429306281396147,0.1975146851303258,0.3595546867300603
id08065,0.4458713785982835,0.284093539330213,0.27003508207150273
id22674,0.16429341152090815,0.023217494504120556,0.8124890939749719
id25018,0.2750623778278048,0.052396897717671385,0.6725407244545233
id10892,0.3184698801250285,0.5817288647027755,0.099801255172199
id10217,0.07387546949366912,0.9164899023898566,0.009634628116477393
id12996,0.49711876424129936,0.20762121243937284,0.2952600233193278
id18262,0.5686082755270883,0.2976025865033548,0.1337891379695579
id08606,0.025544938370644445,0.9534345303236024,0.021020531305752915
id17233,0.940279687179049,0.023510648439444875,0.03620966438150655
id00101,0.8066268788194205,0.09697263115412706,0.09640049002645193
id12225,0.8844107691119032,0.11136388977349194,0.004225341114604904
id01364,0.3645291999461548,0.5843454632669197,0.05112533678692633
id24973,0.5363006225486234,0.13604159547323597,0.3276577819781413
id25363,0.7334542663851824,0.021692977334137643,0.24485275628067849
id10061,0.33722406932533605,0.10188494154931753,0.5608909891253495
id17673,0.18329391191004296,0.7838199536451603,0.03288613444479512
id13249,0.7277734409454654,0.06454488251065871,0.20768167654387532
id10107,0.057574923792361114,0.015331123784941223,0.9270939524226985
id04403,0.8678616893344077,0.016007574395754964,0.11613073626983904
id25728,0.8014199852138435,0.03219620584240106,0.16638380894375618
id16184,0.5786602591393502,0.18730494201155432,0.23403479884909556
id03438,0.016272294781159782,0.0012428876378515045,0.982484817580987
id22923,0.020788409076287213,0.9747303569367854,0.004481233986929033
id08610,0.9185494684762846,0.025679791255345107,0.055770740268371685
id25355,0.15849421215869863,0.09999939649912,0.7415063913421815
id16916,0.5705549879064744,0.2937072578796645,0.13573775421386017
id12793,0.07894035327716274,0.881601870222999,0.03945777649983491
id11859,0.461650690866868,0.1960271389940003,0.34232217013913036
id02434,0.9920220675796587,0.0035440101506425312,0.004433922269698909
id27703,0.028182952477811926,0.018728758836602005,0.9530882886855855
id25212,0.0470223521554414,0.9479932148620533,0.004984432982504846
id11308,0.19010497115467853,0.2598625762044051,0.5500324526409165
